"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Europe & Central Asia","ECS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2596209336","2680071756","3255667161","2642673102","2607501133","2624332615","2399554844","1787675530","2240367830","2302712251","","","",
"Egypt, Arab Rep.","EGY","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","536000000","486000000","1218000000","976000000","965000000","","1583000000","1864000000","1733000000","2034000000","2076000000","2060000000","1931000000","2537000000","2983000000","3039000000","3422000000","4941000000","5428000000","6585000000","7352000000","8255000000","8460000000","","","","","7296000000","8232000000","9234000000","7745000000","9653600000","10369500000","14021000000","14091000000","14702600000","13857900000","14788000000","16771000000","17673000000","21867000000","","","","","","","","","","",
"Euro area","EMU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","408087219","515668386","588991862","683951775","977846694","1379322780","1363095453","1660596444","834805813","944190016","1253110238","1482095849","1596288149","2190689120","1544601108","1696657171","1806642386","1776591781","1507338358","1113074417","619643480","61303235","12020242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236473.1","4748635.486","7611877.341","12296601.18","500000","30000","50000","10000","","2260000","2560000","2450000","3410000","780000","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452500000","465600000","426000000","727700000","1268000000","1758000000","1895900000","2346500000","2295100000","2414500000","","2831600000","3304900000","3633800000","5258400000","5780500000","6568400000","8246500000","11121100000","11848800000","17564500000","22972760000","33556237220","36830361620","24305531800","27234303190","33838706060","35303355390","48935888960","39448500000","53673900000","57559400290","67261400000","87926100000","101987933100","",
"European Union","EUU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
